"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_BUERKLIN";"OC_FARNELL";"OC_NEWARK";"OC_RS";"PACKAGE";"SUPPLIER";
"OK1";"HCPL0600";"HCPL0600";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"AGILENT TECHNOLOGIES";"HCPL-0600-000E";"";"9994696";"88H7774";"";"";"";
"OK2";"HCPL0600";"HCPL0600";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"AGILENT TECHNOLOGIES";"HCPL-0600-000E";"";"9994696";"88H7774";"";"";"";
"OK3";"HCPL0600";"HCPL0600";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"AGILENT TECHNOLOGIES";"HCPL-0600-000E";"";"9994696";"88H7774";"";"";"";
"OK4";"HCPL0600";"HCPL0600";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"AGILENT TECHNOLOGIES";"HCPL-0600-000E";"";"9994696";"88H7774";"";"";"";
"Q1";"opt";"CRYSTALHC49S";"HC49/S";"CRYSTAL";"";"";"";"1667008";"unknown";"";"";"";
"Q2";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q3";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q4";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q5";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q6";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q7";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q8";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q9";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q10";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q11";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q12";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"9558640RL";"";"545-0135";"";"";
"Q13";"FDD4141TO252";"FDD4141TO252";"TO252";"P-Channel PowerTrenchÆ MOSFET";"";"";"";"2101406";"";"";"";"";
"R1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R2";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R3";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R4";"2k2";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332076";"";"";"";"";
"R5";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R6";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R7";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R8";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R9";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R10";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R11";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R12";"24/1%";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"666-2386";"";"";
"R13";"24/1%";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"666-2386";"";"";
"R14";"24/1%";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"666-2386";"";"";
"R15";"24/1%";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"666-2386";"";"";
"R16";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R17";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R18";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R19";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R20";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R21";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R22";"127";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2141745 ";"";"";"";"";
"R23";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R24";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R25";"127";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2141745 ";"";"";"";"";
"R26";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R27";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R28";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R29";"270";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332064";"";"";"";"";
"R30";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R31";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"R32";"270";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332064";"";"";"";"";
"R33";"opt";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2309112";"";"";"";"";
"R34";"opt";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2309112";"";"";"";"";
"R35";"opt";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2309112";"";"";"";"";
"R36";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R37";"2k2";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332076";"";"";"";"";
"R39";"2k2";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332076";"";"";"";"";
"R40";"2k2";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332076";"";"";"";"";
"R43";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R44";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"R46";"1k/100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071/2332058";"";"";"";"";
"R47";"1k/100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332071/2332058";"";"";"";"";
"R48";"1M";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2333544";"";"";"";"";
"R49";"2k7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"2332077";"";"";"";"";
"R50";"330";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"1500705";"";"";"";"";
"SCREW1";"4-40/M3";"DSUB_MOUNTING_SCREW";"SCREW_DUMMY";"";"";"";"";"2135988";"";"";"";"";
"SCREW2";"4-40/M3";"DSUB_MOUNTING_SCREW";"SCREW_DUMMY";"";"";"";"";"2135988";"";"";"";"";
"SCREW3";"4-40/M3";"DSUB_MOUNTING_SCREW";"SCREW_DUMMY";"";"";"";"";"2135988";"";"";"";"";
"SCREW4";"4-40/M3";"DSUB_MOUNTING_SCREW";"SCREW_DUMMY";"";"";"";"";"2135988";"";"";"";"";
"SCREW5";"4-40/M3";"DSUB_MOUNTING_SCREW";"SCREW_DUMMY";"";"";"";"";"2135988";"";"";"";"";
"SCREW6";"4-40/M3";"DSUB_MOUNTING_SCREW";"SCREW_DUMMY";"";"";"";"";"2135988";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ4";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ5";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ6";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ7";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ8";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SJ9";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"SV1";"";"ML26L";"ML26L";"HARTING";"";"";"";"1096983";"unknown";"";"";"";
"SV2";"";"ML6";"ML6";"HARTING";"";"";"";"1096984";"unknown";"740-7105";"";"";
"SV3";"";"ML6";"ML6";"HARTING";"";"";"";"1096984";"unknown";"740-7105";"";"";
"SV4";"";"ML6";"ML6";"HARTING";"";"";"";"1096984";"unknown";"740-7105";"";"";
"SV5";"";"ML6";"ML6";"HARTING";"";"";"";"1096984";"unknown";"740-7105";"";"";
"SV6";"";"ML6";"ML6";"HARTING";"";"";"";"1096984";"unknown";"740-7105";"";"";
"T1_LO";"SMS_IP67";"SMS_IP67";"IP67";"Groﬂer Tastschalter  Taster Switch Schalter";"";"";"";"1217758";"";"";"";"";
"T2_SOE";"SMS_IP67";"SMS_IP67";"IP67";"Groﬂer Tastschalter  Taster Switch Schalter";"";"";"";"1217758";"";"";"";"";
"T3_SOE";"SWITCH_LED";"SWITCH_LED";"SWITCH_LED";"";"";"";"12 G 203";"";"";"";"";"";
"T4_PWR";"SMS_IP67";"SMS_IP67";"IP67";"Groﬂer Tastschalter  Taster Switch Schalter";"";"";"";"1217758";"";"";"";"";
"T5_ERRINH";"SMS_IP67";"SMS_IP67";"IP67";"Groﬂer Tastschalter  Taster Switch Schalter";"";"";"";"1217758";"";"";"";"";
"T6_PWR";"SWITCH_LED";"SWITCH_LED";"SWITCH_LED";"";"";"";"12 G 205";"";"";"";"";"";
"T7_ERRINH";"SWITCH_LED";"SWITCH_LED";"SWITCH_LED";"";"";"";"12 G 205";"";"";"";"";"";
"T8_LO";"SWITCH_LED";"SWITCH_LED";"SWITCH_LED";"";"";"";"12 G 203";"";"";"";"";"";
"T9_SODS";"SMS_IP67";"SMS_IP67";"IP67";"Groﬂer Tastschalter  Taster Switch Schalter";"";"";"";"1217758";"";"";"";"";
"T10_SODS";"SWITCH_LED";"SWITCH_LED";"SWITCH_LED";"";"";"";"12 G 203";"";"";"";"";"";
"U$3";"black";"JACK";"JACK";"";"";"";"";"1854507";"";"";"";"";
"U$4";"UDN2596";"UDN2596";"DIL20";"";"";"";"";"1103848";"";"";"";"";
"U$5";"SP490";"SP490";"SO08";"";"";"";"";"9387234";"";"";"";"";
"U$6";"BTS6143";"BTS6143";"TO-252-5-1";"";"";"";"";"1440813";"";"";"";"";
"U$7_BER";"50k";"STRK11K";"VERT_POTI";"Potentiometer";"";"";"";"1345093";"";"";"";"";
"U$8_DROPR";"50k";"STRK11K";"VERT_POTI";"Potentiometer";"";"";"";"1345093";"";"";"";"";
"U$9";"red";"JACK";"JACK";"";"";"";"";"1854508";"";"";"";"";
"U$9_DROPDUR";"50k";"STRK11K";"VERT_POTI";"Potentiometer";"";"";"";"1345093";"";"";"";"";
"U$10";"TEN3-2410N";"TEN3-2410N";"TEN3-2410N";"";"";"";"";"";"";"801-9330";"";"";
"U1";"MAX3232ESE";"MAX3232ESE";"SO16";"True RS-232 Transceivers 3.0V to 5.5V, Low-Power";"MAXIM";"MAX3232ESE";"";"9725539";"79C3880";"";"";"";
"U2";"XMEGA-A4UTQFP";"XMEGA-A4UTQFP";"TQFP44";"Atmel XMega A4U series processor";"";"";"";"2066309";"";"";"";"";
"U3";"TSR_1-2450";"TSR_1-2450";"TSR-1";"TRACO TSR-1 Series";"";"";"";"1696320";"";"";"";"";
"U4";"LM1117";"LM1117";"TO252";"";"";"";"";"1685603";"";"";"";"";
"U5";"NC7WZ17P6X";"NC7WZ17P6X";"SOT65P210X110-6N";"Dual Buffer";"";"NC7WZ17P6X";"";"1651986";"38C7625";"";"SC-70-6";"FAIRCHILD SEMICONDUCTOR";
"U6";"ADUM3160";"ADUM3160";"SO-16W";"";"";"";"";"1843660";"";"";"";"";
"U7";"TPS73125";"TPS731";"SOT25";"";"";"";"";"2112625";"";"";"";"";
"U8";"NUP2202W1";"NUP2202W1";"SOT363_PHILIPS";"";"";"";"";"";"";"463-690";"";"";
"X1";"PN61729-S";"PN61729-S";"PN61729-S";"BERG USB connector";"";"";"";"1642035";"unknown";"515-1989";"";"";
"X2_GROUNDSTATION";"";"F09HP";"F09HP";"SUB-D";"";"";"";"1207597";"unknown";"";"";"";
"X3_DEBUG";"";"F09HP";"F09HP";"SUB-D";"";"";"";"1207597";"unknown";"";"";"";
"X4";"";"F15HP";"F15HP";"SUB-D";"";"";"";"1207598";"unknown";"";"";"";
"X5";"RLP2-200-500";"RLP2-200-500";"RLP2-200-500";"";"";"";"";"";"";"752-9157";"";"";
"X6";"";"AK500/2";"AK500/2";"CONNECTOR";"";"";"";"1131855";"unknown";"";"";"";
